codecommune,codedep,election_type,Year,far_right_relvotes,far_right_votes,turnout,incumbents_relvotes,incumbents_votes,greens_relvotes,greens_votes,right_relvotes,right_votes,socialists_relvotes,socialists_votes
36096,36,E,2024,0.416666666666667,40,0.568047337278107,0.0729166666666667,7,0.0416666666666667,4,0.0729166666666667,7,0.0729166666666667,7
36097,36,E,2024,0.437908496732026,67,0.59765625,0.104575163398693,16,0.0392156862745098,6,0.065359477124183,10,0.0718954248366013,11
36098,36,E,2024,0.315789473684211,18,0.75,0.105263157894737,6,0.0175438596491228,1,0.192982456140351,11,0.12280701754386,7
36099,36,E,2024,0.375,42,0.455284552845528,0.196428571428571,22,0.00892857142857143,1,0.0982142857142857,11,0.125,14
36100,36,E,2024,0.342342342342342,38,0.52112676056338,0.117117117117117,13,0.027027027027027,3,0.0900900900900901,10,0.126126126126126,14
36101,36,E,2024,0.486862442040185,315,0.520096463022508,0.109737248840804,71,0.0278207109737249,18,0.0417310664605873,27,0.0958268933539413,62
36102,36,E,2024,0.384615384615385,20,0.514851485148515,0.0961538461538462,5,0.0192307692307692,1,0.0961538461538462,5,0.134615384615385,7
36103,36,E,2024,0.448717948717949,245,0.510280373831776,0.148351648351648,81,0.0128205128205128,7,0.0695970695970696,38,0.0842490842490843,46
36104,36,E,2024,0.243697478991597,29,0.619791666666667,0.19327731092437,23,0.0672268907563025,8,0.0420168067226891,5,0.126050420168067,15
36105,36,E,2024,0.370786516853933,33,0.54601226993865,0.146067415730337,13,0.0337078651685393,3,0.0561797752808989,5,0.0561797752808989,5
36106,36,E,2024,0.4375,28,0.53781512605042,0.078125,5,0.015625,1,0.109375,7,0.109375,7
36107,36,E,2024,0.314487632508834,89,0.50445632798574,0.162544169611307,46,0.0424028268551237,12,0.109540636042403,31,0.109540636042403,31
36108,36,E,2024,0.367521367521368,43,0.646408839779006,0.153846153846154,18,0.0512820512820513,6,0.102564102564103,12,0.102564102564103,12
36109,36,E,2024,0.395294117647059,168,0.520195838433293,0.167058823529412,71,0.0211764705882353,9,0.0564705882352941,24,0.0894117647058824,38
36110,36,E,2024,0.454545454545455,50,0.594594594594595,0.145454545454545,16,0.00909090909090909,1,0.0909090909090909,10,0.109090909090909,12
36111,36,E,2024,0.469879518072289,39,0.58041958041958,0.0963855421686747,8,0.0602409638554217,5,0.0602409638554217,5,0.0963855421686747,8
36112,36,E,2024,0.4,128,0.545144804088586,0.11875,38,0.0375,12,0.078125,25,0.1,32
36113,36,E,2024,0.387909319899244,154,0.514248704663213,0.133501259445844,53,0.0277078085642317,11,0.0881612090680101,35,0.0957178841309824,38
36114,36,E,2024,0.415204678362573,71,0.657692307692308,0.128654970760234,22,0,0,0.064327485380117,11,0.146198830409357,25
36115,36,E,2024,0.491803278688525,30,0.521367521367521,0.0655737704918033,4,0,0,0.0327868852459016,2,0.131147540983607,8
36116,36,E,2024,0.43859649122807,25,0.548076923076923,0.0701754385964912,4,0,0,0.192982456140351,11,0.0350877192982456,2
36117,36,E,2024,0.389162561576355,79,0.613293051359517,0.0935960591133005,19,0.0344827586206897,7,0.0443349753694581,9,0.16256157635468,33
36118,36,E,2024,0.563758389261745,84,0.558052434456929,0.114093959731544,17,0.0402684563758389,6,0.0402684563758389,6,0.0536912751677852,8
36119,36,E,2024,0.373831775700935,80,0.563157894736842,0.200934579439252,43,0.0467289719626168,10,0.0607476635514019,13,0.0934579439252336,20
36120,36,E,2024,0.364912280701754,104,0.549132947976879,0.0912280701754386,26,0.0350877192982456,10,0.12280701754386,35,0.108771929824561,31
36121,36,E,2024,0.54945054945055,50,0.602649006622517,0.054945054945055,5,0.010989010989011,1,0.0659340659340659,6,0.032967032967033,3
36122,36,E,2024,0.329113924050633,26,0.506410256410256,0.126582278481013,10,0.0253164556962025,2,0.113924050632911,9,0.10126582278481,8
36123,36,E,2024,0.436893203883495,180,0.592805755395684,0.145631067961165,60,0.0388349514563107,16,0.0461165048543689,19,0.106796116504854,44
36124,36,E,2024,0.547619047619048,69,0.557522123893805,0.0476190476190476,6,0.0555555555555556,7,0.0873015873015873,11,0.0158730158730159,2
36125,36,E,2024,0.390625,25,0.711111111111111,0.15625,10,0.015625,1,0.09375,6,0.03125,2
36126,36,E,2024,0.376288659793814,73,0.538888888888889,0.0927835051546392,18,0.077319587628866,15,0.108247422680412,21,0.103092783505155,20
36127,36,E,2024,0.353623188405797,244,0.510732790525537,0.171014492753623,118,0.0304347826086957,21,0.0695652173913044,48,0.126086956521739,87
36128,36,E,2024,0.50384024577573,328,0.492063492063492,0.125960061443932,82,0.0230414746543779,15,0.0599078341013825,39,0.0829493087557604,54
36129,36,E,2024,0.401606425702811,100,0.544857768052516,0.108433734939759,27,0.0200803212851406,5,0.072289156626506,18,0.132530120481928,33
36130,36,E,2024,0.339285714285714,19,0.571428571428571,0.267857142857143,15,0,0,0.0714285714285714,4,0.107142857142857,6
36131,36,E,2024,0.490566037735849,104,0.563829787234043,0.108490566037736,23,0.0283018867924528,6,0.0330188679245283,7,0.0613207547169811,13
36132,36,E,2024,0.4375,14,0.627450980392157,0.09375,3,0.03125,1,0.0625,2,0.125,4
36133,36,E,2024,0.494505494505495,45,0.471502590673575,0.0989010989010989,9,0.032967032967033,3,0.0659340659340659,6,0.10989010989011,10
36134,36,E,2024,0.439759036144578,73,0.470254957507082,0.120481927710843,20,0.00602409638554217,1,0.0662650602409639,11,0.072289156626506,12
36135,36,E,2024,0.5,56,0.495575221238938,0.0714285714285714,8,0,0,0.107142857142857,12,0.107142857142857,12
36136,36,E,2024,0.3125,20,0.64,0.109375,7,0.015625,1,0.1875,12,0.09375,6
36137,36,E,2024,0.255681818181818,45,0.63768115942029,0.0965909090909091,17,0.0909090909090909,16,0.0681818181818182,12,0.142045454545455,25
36138,36,E,2024,0.315789473684211,30,0.516304347826087,0.178947368421053,17,0.0315789473684211,3,0.0736842105263158,7,0.126315789473684,12
36139,36,E,2024,0.548172757475083,165,0.559479553903346,0.0764119601328904,23,0.0332225913621263,10,0.0232558139534884,7,0.112956810631229,34
36140,36,E,2024,0.509920634920635,257,0.575342465753425,0.0912698412698413,46,0.0238095238095238,12,0.0734126984126984,37,0.0496031746031746,25
36141,36,E,2024,0.404088050314465,257,0.51373182552504,0.168238993710692,107,0.0361635220125786,23,0.0676100628930818,43,0.0974842767295597,62
36142,36,E,2024,0.464898595943838,298,0.515687851971038,0.135725429017161,87,0.0124804992199688,8,0.0514820592823713,33,0.113884555382215,73
36143,36,E,2024,0.333333333333333,75,0.589005235602094,0.133333333333333,30,0.0444444444444444,10,0.0488888888888889,11,0.186666666666667,42
36144,36,E,2024,0.357142857142857,60,0.66403162055336,0.196428571428571,33,0.0535714285714286,9,0.0773809523809524,13,0.0654761904761905,11
36145,36,E,2024,0.270833333333333,26,0.489795918367347,0.197916666666667,19,0.0208333333333333,2,0.03125,3,0.25,24
36146,36,E,2024,0.337837837837838,100,0.515679442508711,0.162162162162162,48,0.0135135135135135,4,0.108108108108108,32,0.070945945945946,21
36147,36,E,2024,0.344262295081967,21,0.603960396039604,0.0983606557377049,6,0.0655737704918033,4,0,0,0.0983606557377049,6
36148,36,E,2024,0.41340782122905,74,0.540785498489426,0.139664804469274,25,0.0502793296089386,9,0.0614525139664804,11,0.0726256983240224,13
36149,36,E,2024,0.421221864951769,131,0.550442477876106,0.128617363344051,40,0.0353697749196142,11,0.0836012861736334,26,0.090032154340836,28
36150,36,E,2024,0.388297872340426,73,0.46078431372549,0.132978723404255,25,0.0159574468085106,3,0.0425531914893617,8,0.101063829787234,19
36152,36,E,2024,0.481707317073171,79,0.448087431693989,0.158536585365854,26,0.0548780487804878,9,0.0487804878048781,8,0.0548780487804878,9
36153,36,E,2024,0.509316770186335,82,0.58974358974359,0.0807453416149068,13,0.0186335403726708,3,0.0496894409937888,8,0.0559006211180124,9
36154,36,E,2024,0.358579881656805,303,0.556287030941409,0.156213017751479,132,0.0378698224852071,32,0.0840236686390533,71,0.157396449704142,133
36155,36,E,2024,0.384126984126984,121,0.581180811808118,0.114285714285714,36,0.0253968253968254,8,0.120634920634921,38,0.0888888888888889,28
36156,36,E,2024,0.445121951219512,73,0.515723270440252,0.109756097560976,18,0.0365853658536585,6,0.024390243902439,4,0.103658536585366,17
